18000000.0 nm0000095 nm0000095 6.7 tt0196216 tt0066808 7.1
18000000.0 nm0000095 nm0000095 6.7 tt0196216 tt0068555 6.8
18000000.0 nm0000095 nm0000095 6.7 tt0196216 tt0070707 7.3
18000000.0 nm0000095 nm0000095 6.7 tt0196216 tt0075686 8.1
18000000.0 nm0000095 nm0000095 6.7 tt0196216 tt0093818 7.6
18000000.0 nm0000095 nm0000095 6.7 tt0196216 tt0097965 6.4
18000000.0 nm0000095 nm0000095 6.7 tt0196216 tt0109348 7.5
18000000.0 nm0000095 nm0000095 6.7 tt0196216 tt0116242 6.8
18000000.0 nm0000095 nm0000095 6.7 tt0196216 tt0118954 7.4
18000000.0 nm0000095 nm0000095 6.7 tt0196216 tt0120533 6.3
18000000.0 nm0000095 nm0000095 6.7 tt0196216 tt0196216 6.7
18000000.0 nm0000095 nm0000095 6.7 tt0196216 tt0256524 6.8
18000000.0 nm0000095 nm0000095 6.7 tt0196216 tt0278823 6.6
18000000.0 nm0000095 nm0000095 6.7 tt0196216 tt0313792 6.4
26000000.0 nm0000095 nm0000095 6.8 tt0256524 tt0066808 7.1
26000000.0 nm0000095 nm0000095 6.8 tt0256524 tt0068555 6.8
26000000.0 nm0000095 nm0000095 6.8 tt0256524 tt0070707 7.3
26000000.0 nm0000095 nm0000095 6.8 tt0256524 tt0075686 8.1
26000000.0 nm0000095 nm0000095 6.8 tt0256524 tt0093818 7.6
26000000.0 nm0000095 nm0000095 6.8 tt0256524 tt0097965 6.4
26000000.0 nm0000095 nm0000095 6.8 tt0256524 tt0109348 7.5
26000000.0 nm0000095 nm0000095 6.8 tt0256524 tt0116242 6.8
26000000.0 nm0000095 nm0000095 6.8 tt0256524 tt0118954 7.4
26000000.0 nm0000095 nm0000095 6.8 tt0256524 tt0120533 6.3
26000000.0 nm0000095 nm0000095 6.8 tt0256524 tt0196216 6.7
26000000.0 nm0000095 nm0000095 6.8 tt0256524 tt0256524 6.8
26000000.0 nm0000095 nm0000095 6.8 tt0256524 tt0278823 6.6
26000000.0 nm0000095 nm0000095 6.8 tt0256524 tt0313792 6.4
16000000.0 nm0000095 nm0000095 6.6 tt0278823 tt0066808 7.1
16000000.0 nm0000095 nm0000095 6.6 tt0278823 tt0068555 6.8
16000000.0 nm0000095 nm0000095 6.6 tt0278823 tt0070707 7.3
16000000.0 nm0000095 nm0000095 6.6 tt0278823 tt0075686 8.1
